labels	start	stop
speech	6241.74	6243.400000000001
noEnergy	6243.400000000001	6244.28
speech	6244.28	6245.3
noEnergy	6245.3	6245.84
speech	6245.84	6246.860000000001
noEnergy	6246.860000000001	6247.64
speech	6247.64	6248.42
noEnergy	6248.42	6249.18
speech	6249.18	6249.68
noEnergy	6249.68	6250.360000000001
speech	6250.360000000001	6252.360000000001
noEnergy	6252.360000000001	6252.9800000000005
speech	6252.9800000000005	6254.24
noEnergy	6254.24	6254.900000000001
speech	6254.900000000001	6255.84
noEnergy	6255.84	6257.3
speech	6257.3	6257.9400000000005
noEnergy	6257.9400000000005	6258.7
speech	6258.7	6260.82
noEnergy	6260.82	6261.58
speech	6261.58	6262.5
noEnergy	6262.5	6263.42
speech	6263.42	6264.3
noEnergy	6264.3	6264.92
speech	6264.92	6266.92
noEnergy	6266.92	6267.400000000001
music	6267.400000000001	6560.7
noEnergy	6560.7	6561.18
speech	6561.18	6562.76
noEnergy	6562.76	6563.24
speech	6563.24	6565.8
noEnergy	6565.8	6566.2
speech	6566.2	6592.46
music	6592.46	6595.1
speech	6595.1	6600.76
noEnergy	6600.76	6601.16
speech	6601.16	6621.04
noEnergy	6621.04	6621.4400000000005
music	6621.4400000000005	6622.72
speech	6622.72	6627.9400000000005
music	6627.9400000000005	6631.0
noEnergy	6631.0	6632.5
speech	6632.5	6635.26
noEnergy	6635.26	6636.42
speech	6636.42	6640.9800000000005
noEnergy	6640.9800000000005	6641.38
speech	6641.38	6645.34
noEnergy	6645.34	6646.24
speech	6646.24	6647.28
noEnergy	6647.28	6647.88
speech	6647.88	6649.54
noEnergy	6649.54	6651.06
speech	6651.06	6652.360000000001
noEnergy	6652.360000000001	6653.860000000001
speech	6653.860000000001	6657.8
noEnergy	6657.8	6659.68
speech	6659.68	6660.16
noEnergy	6660.16	6661.28
speech	6661.28	6661.860000000001
noEnergy	6661.860000000001	6662.32
speech	6662.32	6662.84
noEnergy	6662.84	6664.360000000001
speech	6664.360000000001	6664.9800000000005
noEnergy	6664.9800000000005	6665.62
speech	6665.62	6667.1
noEnergy	6667.1	6668.22
speech	6668.22	6668.78
noEnergy	6668.78	6669.54
speech	6669.54	6674.42
noEnergy	6674.42	6676.46
speech	6676.46	6679.64
noEnergy	6679.64	6680.14
speech	6680.14	6682.6
noEnergy	6682.6	6683.360000000001
speech	6683.360000000001	6687.8
noEnergy	6687.8	6688.46
speech	6688.46	6689.9400000000005
noEnergy	6689.9400000000005	6690.84
speech	6690.84	6692.54
noEnergy	6692.54	6693.2
speech	6693.2	6694.22
noEnergy	6694.22	6694.68
speech	6694.68	6695.02
noEnergy	6695.02	6695.96
speech	6695.96	6696.28
noEnergy	6696.28	6696.9400000000005
speech	6696.9400000000005	6697.4800000000005
noEnergy	6697.4800000000005	6698.54
speech	6698.54	6698.900000000001
noEnergy	6698.900000000001	6700.4800000000005
speech	6700.4800000000005	6700.8
noEnergy	6700.8	6702.62
speech	6702.62	6704.78
noEnergy	6704.78	6706.2
speech	6706.2	6708.3
noEnergy	6708.3	6709.360000000001
speech	6709.360000000001	6713.06
noEnergy	6713.06	6714.32
speech	6714.32	6716.18
noEnergy	6716.18	6717.52
speech	6717.52	6718.46
noEnergy	6718.46	6719.38
speech	6719.38	6722.14
noEnergy	6722.14	6722.72
speech	6722.72	6725.4800000000005
noEnergy	6725.4800000000005	6726.04
speech	6726.04	6727.14
noEnergy	6727.14	6727.58
speech	6727.58	6728.900000000001
noEnergy	6728.900000000001	6729.82
speech	6729.82	6730.46
noEnergy	6730.46	6730.9400000000005
speech	6730.9400000000005	6731.54
noEnergy	6731.54	6732.08
speech	6732.08	6734.0
noEnergy	6734.0	6734.84
music	6734.84	6966.64
noEnergy	6966.64	6968.74
music	6968.74	6975.26
speech	6975.26	6976.9400000000005
noEnergy	6976.9400000000005	6977.74
speech	6977.74	6991.74
noEnergy	6991.74	6992.900000000001
speech	6992.900000000001	6998.42
noEnergy	6998.42	6999.72
speech	6999.72	7006.28
noEnergy	7006.28	7008.64
music	7008.64	7020.8
noEnergy	7020.8	7021.32
speech	7021.32	7024.8
